PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Family
1,0,3,1,0,22,1,0,7.25,6,0,1
2,1,1,3,1,38,1,0,71.2833,3,1,1
3,1,3,2,1,26,0,0,7.925,6,0,0
4,1,1,3,1,35,1,0,53.1,3,0,1
5,0,3,1,0,35,0,0,8.05,5,0,0
6,0,3,1,0,33,0,0,8.4583,5,2,0
7,0,1,1,0,54,0,0,51.8625,5,0,0
8,0,3,0,0,2,3,1,21.075,5,0,1
9,1,3,3,1,27,0,2,11.1333,6,0,1
10,1,2,3,1,14,1,0,30.0708,5,1,1
11,1,3,2,1,4,1,1,16.7,7,0,1
12,1,1,2,1,58,0,0,26.55,3,0,0
13,0,3,1,0,20,0,0,8.05,5,0,0
14,0,3,1,0,39,1,5,31.275,5,0,1
15,0,3,2,1,14,0,0,7.8542,6,0,0
16,1,2,3,1,55,0,0,16.0,5,0,0
17,0,3,0,0,2,4,1,29.125,5,2,1
18,1,2,1,0,34,0,0,13.0,5,0,0
19,0,3,3,1,31,1,0,18.0,6,0,1
20,1,3,3,1,33,0,0,7.225,5,1,0
21,0,2,1,0,35,0,0,26.0,5,0,0
22,1,2,1,0,34,0,0,13.0,4,0,0
23,1,3,2,1,15,0,0,8.0292,5,2,0
24,1,1,1,0,28,0,0,35.5,1,0,0
25,0,3,2,1,8,3,1,21.075,6,0,1
26,1,3,3,1,38,1,5,31.3875,5,0,1
27,0,3,1,0,27,0,0,7.225,5,1,0
28,0,1,1,0,19,3,2,263.0,3,0,1
29,1,3,2,1,23,0,0,7.8792,5,2,0
30,0,3,1,0,30,0,0,7.8958,5,0,0
31,0,1,1,0,40,0,0,27.7208,2,1,0
32,1,1,3,1,41,1,0,146.5208,2,1,1
33,1,3,2,1,23,0,0,7.75,5,2,0
34,0,2,1,0,66,0,0,10.5,5,0,0
35,0,1,1,0,28,1,0,82.1708,3,1,1
36,0,1,1,0,42,1,0,52.0,3,0,1
37,1,3,1,0,27,0,0,7.2292,5,1,0
38,0,3,1,0,21,0,0,8.05,5,0,0
39,0,3,2,1,18,2,0,18.0,6,0,1
40,1,3,2,1,14,1,0,11.2417,6,1,1
41,0,3,3,1,40,1,0,9.475,6,0,1
42,0,2,3,1,27,1,0,21.0,5,0,1
43,0,3,1,0,27,0,0,7.8958,5,1,0
44,1,2,2,1,3,1,2,41.5792,5,1,1
45,1,3,2,1,19,0,0,7.8792,5,2,0
46,0,3,1,0,30,0,0,8.05,5,0,0
47,0,3,1,0,26,1,0,15.5,6,2,1
48,1,3,2,1,23,0,0,7.75,5,2,0
49,0,3,1,0,20,2,0,21.6792,6,1,1
50,0,3,3,1,18,1,0,17.8,6,0,1
51,0,3,0,0,7,4,1,39.6875,5,0,1
52,0,3,1,0,21,0,0,7.8,5,0,0
53,1,1,3,1,49,1,0,76.7292,4,1,1
54,1,2,3,1,29,1,0,26.0,5,0,1
55,0,1,1,0,65,0,1,61.9792,2,1,1
56,1,1,1,0,45,0,0,35.5,3,0,0
57,1,2,2,1,21,0,0,10.5,5,0,0
58,0,3,1,0,28,0,0,7.2292,5,1,0
59,1,2,2,1,5,1,2,27.75,5,0,1
60,0,3,0,0,11,5,2,46.9,5,0,1
61,0,3,1,0,22,0,0,7.2292,5,1,0
62,1,1,2,1,38,0,0,80.0,2,0,0
63,0,1,1,0,45,1,0,83.475,3,0,1
64,0,3,0,0,4,3,2,27.9,5,0,1
65,0,1,1,0,41,0,0,27.7208,2,1,0
66,1,3,0,0,0,1,1,15.2458,5,1,1
67,1,2,3,1,29,0,0,10.5,6,0,0
68,0,3,1,0,19,0,0,8.1583,5,0,0
69,1,3,2,1,17,4,2,7.925,6,0,1
70,0,3,1,0,26,2,0,8.6625,6,0,1
71,0,2,1,0,32,0,0,10.5,5,0,0
72,0,3,2,1,16,5,2,46.9,6,0,1
73,0,2,1,0,21,0,0,73.5,5,0,0
74,0,3,1,0,26,1,0,14.4542,6,1,1
75,1,3,1,0,32,0,0,56.4958,5,0,0
76,0,3,1,0,25,0,0,7.65,6,0,0
77,0,3,1,0,30,0,0,7.8958,5,0,0
78,0,3,1,0,30,0,0,8.05,5,0,0
79,1,2,0,0,0,0,2,29.0,4,0,1
80,1,3,2,1,30,0,0,12.475,6,0,0
81,0,3,1,0,22,0,0,9.0,5,0,0
82,1,3,1,0,29,0,0,9.5,5,0,0
83,1,3,2,1,23,0,0,7.7875,5,2,0
84,0,1,1,0,28,0,0,47.1,2,0,0
85,1,2,2,1,17,0,0,10.5,5,0,0
86,1,3,3,1,33,3,0,15.85,6,0,1
87,0,3,1,0,16,1,3,34.375,6,0,1
88,0,3,1,0,30,0,0,8.05,5,0,0
89,1,1,2,1,23,3,2,263.0,3,0,1
90,0,3,1,0,24,0,0,8.05,5,0,0
91,0,3,1,0,29,0,0,8.05,5,0,0
92,0,3,1,0,20,0,0,7.8542,5,0,0
93,0,1,1,0,46,1,0,61.175,5,0,1
94,0,3,1,0,26,1,2,20.575,6,0,1
95,0,3,1,0,59,0,0,7.25,5,0,0
96,0,3,1,0,30,0,0,8.05,5,0,0
97,0,1,1,0,71,0,0,34.6542,1,1,0
98,1,1,1,0,23,0,1,63.3583,4,1,1
99,1,2,3,1,34,0,1,23.0,5,0,1
100,0,2,1,0,34,1,0,26.0,5,0,1
101,0,3,2,1,28,0,0,7.8958,6,0,0
102,0,3,1,0,30,0,0,7.8958,5,0,0
103,0,1,1,0,21,0,1,77.2875,4,0,1
104,0,3,1,0,33,0,0,8.6542,5,0,0
105,0,3,1,0,37,2,0,7.925,6,0,1
106,0,3,1,0,28,0,0,7.8958,5,0,0
107,1,3,2,1,21,0,0,7.65,6,0,0
108,1,3,1,0,30,0,0,7.775,5,0,0
109,0,3,1,0,38,0,0,7.8958,5,0,0
110,1,3,2,1,16,1,0,24.15,6,2,1
111,0,1,1,0,47,0,0,52.0,3,0,0
112,0,3,2,1,14,1,0,14.4542,6,1,1
113,0,3,1,0,22,0,0,8.05,5,0,0
114,0,3,2,1,20,1,0,9.825,6,0,1
115,0,3,2,1,17,0,0,14.4583,5,1,0
116,0,3,1,0,21,0,0,7.925,5,0,0
117,0,3,1,0,70,0,0,7.75,5,2,0
118,0,2,1,0,29,1,0,21.0,5,0,1
119,0,1,1,0,24,0,1,247.5208,2,1,1
120,0,3,2,1,2,4,2,31.275,6,0,1
121,0,2,1,0,21,2,0,73.5,5,0,1
122,0,3,1,0,30,0,0,8.05,5,0,0
123,0,2,1,0,32,1,0,30.0708,5,1,1
124,1,2,2,1,32,0,0,13.0,5,0,0
125,0,1,1,0,54,0,1,77.2875,4,0,1
126,1,3,0,0,12,1,0,11.2417,5,1,1
127,0,3,1,0,33,0,0,7.75,5,2,0
128,1,3,1,0,24,0,0,7.1417,5,0,0
129,1,3,2,1,10,1,1,22.3583,6,1,1
130,0,3,1,0,45,0,0,6.975,5,0,0
131,0,3,1,0,33,0,0,7.8958,5,1,0
132,0,3,1,0,20,0,0,7.05,5,0,0
133,0,3,3,1,47,1,0,14.5,6,0,1
134,1,2,3,1,29,1,0,26.0,5,0,1
135,0,2,1,0,25,0,0,13.0,5,0,0
136,0,2,1,0,23,0,0,15.0458,4,1,0
137,1,1,2,1,19,0,2,26.2833,4,0,1
138,0,1,1,0,37,1,0,53.1,3,0,1
139,0,3,1,0,16,0,0,9.2167,5,0,0
140,0,1,1,0,24,0,0,79.2,2,1,0
141,0,3,3,1,26,0,2,15.2458,5,1,1
142,1,3,2,1,22,0,0,7.75,6,0,0
143,1,3,3,1,24,1,0,15.85,6,0,1
144,0,3,1,0,19,0,0,6.75,5,2,0
145,0,2,1,0,18,0,0,11.5,5,0,0
146,0,2,1,0,19,1,1,36.75,5,0,1
147,1,3,1,0,27,0,0,7.7958,5,0,0
148,0,3,2,1,9,2,2,34.375,6,0,1
149,0,2,1,0,36,0,2,26.0,6,0,1
150,0,2,1,0,42,0,0,13.0,5,0,0
151,0,2,1,0,51,0,0,12.525,5,0,0
152,1,1,3,1,22,1,0,66.6,3,0,1
153,0,3,1,0,55,0,0,8.05,5,0,0
154,0,3,1,0,40,0,2,14.5,6,0,1
155,0,3,1,0,30,0,0,7.3125,5,0,0
156,0,1,1,0,51,0,1,61.3792,2,1,1
157,1,3,2,1,16,0,0,7.7333,5,2,0
158,0,3,1,0,30,0,0,8.05,5,0,0
159,0,3,1,0,30,0,0,8.6625,5,0,0
160,0,3,0,0,2,8,2,69.55,5,0,1
161,0,3,1,0,44,0,1,16.1,6,0,1
162,1,2,3,1,40,0,0,15.75,5,0,0
163,0,3,1,0,26,0,0,7.775,5,0,0
164,0,3,1,0,17,0,0,8.6625,5,0,0
165,0,3,0,0,1,4,1,39.6875,5,0,1
166,1,3,0,0,9,0,2,20.525,5,0,1
167,1,1,3,1,44,0,1,55.0,5,0,1
168,0,3,3,1,45,1,4,27.9,5,0,1
169,0,1,1,0,45,0,0,25.925,2,0,0
170,0,3,1,0,28,0,0,56.4958,5,0,0
171,0,1,1,0,61,0,0,33.5,2,0,0
172,0,3,0,0,4,4,1,29.125,5,2,1
173,1,3,2,1,1,1,1,11.1333,6,0,1
174,0,3,1,0,21,0,0,7.925,5,0,0
175,0,1,1,0,56,0,0,30.6958,1,1,0
176,0,3,1,0,18,1,1,7.8542,6,0,1
177,0,3,0,0,2,3,1,25.4667,5,0,1
178,0,1,2,1,50,0,0,28.7125,3,1,0
179,0,2,1,0,30,0,0,13.0,5,0,0
180,0,3,1,0,36,0,0,0.0,5,0,0
181,0,3,2,1,13,8,2,69.55,6,0,1
182,0,2,1,0,31,0,0,15.05,4,1,0
183,0,3,0,0,9,4,2,31.3875,5,0,1
184,1,2,0,0,1,2,1,39.0,6,0,1
185,1,3,2,1,4,0,2,22.025,6,0,1
186,0,1,1,0,45,0,0,50.0,1,0,0
187,1,3,3,1,33,1,0,15.5,6,2,1
188,1,1,1,0,45,0,0,26.55,2,0,0
189,0,3,1,0,40,1,1,15.5,6,2,1
190,0,3,1,0,36,0,0,7.8958,5,0,0
191,1,2,3,1,32,0,0,13.0,5,0,0
192,0,2,1,0,19,0,0,13.0,5,0,0
193,1,3,2,1,19,1,0,7.8542,6,0,1
194,1,2,0,0,3,1,1,26.0,6,0,1
195,1,1,3,1,44,0,0,27.7208,2,1,0
196,1,1,2,1,58,0,0,146.5208,2,1,0
197,0,3,1,0,33,0,0,7.75,5,2,0
198,0,3,1,0,42,0,1,8.4042,6,0,1
199,1,3,2,1,23,0,0,7.75,5,2,0
200,0,2,2,1,24,0,0,13.0,5,0,0
201,0,3,1,0,28,0,0,9.5,5,0,0
202,0,3,1,0,23,8,2,69.55,6,0,1
203,0,3,1,0,34,0,0,6.4958,5,0,0
204,0,3,1,0,45,0,0,7.225,5,1,0
205,1,3,1,0,18,0,0,8.05,5,0,0
206,0,3,2,1,2,0,1,10.4625,7,0,1
207,0,3,1,0,32,1,0,15.85,6,0,1
208,1,3,1,0,26,0,0,18.7875,5,1,0
209,1,3,2,1,16,0,0,7.75,5,2,0
210,1,1,1,0,40,0,0,31.0,1,1,0
211,0,3,1,0,24,0,0,7.05,5,0,0
212,1,2,2,1,35,0,0,21.0,5,0,0
213,0,3,1,0,22,0,0,7.25,5,0,0
214,0,2,1,0,30,0,0,13.0,5,0,0
215,0,3,1,0,26,1,0,7.75,6,2,1
216,1,1,2,1,31,1,0,113.275,4,1,1
217,1,3,2,1,27,0,0,7.925,6,0,0
218,0,2,1,0,42,1,0,27.0,5,0,1
219,1,1,2,1,32,0,0,76.2917,4,1,0
220,0,2,1,0,30,0,0,10.5,5,0,0
221,1,3,1,0,16,0,0,8.05,5,0,0
222,0,2,1,0,27,0,0,13.0,5,0,0
223,0,3,1,0,51,0,0,8.05,5,0,0
224,0,3,1,0,30,0,0,7.8958,5,0,0
225,1,1,1,0,38,1,0,90.0,3,0,1
226,0,3,1,0,22,0,0,9.35,5,0,0
227,1,2,1,0,19,0,0,10.5,5,0,0
228,0,3,1,0,20,0,0,7.25,5,0,0
229,0,2,1,0,18,0,0,13.0,5,0,0
230,0,3,2,1,13,3,1,25.4667,6,0,1
231,1,1,3,1,35,1,0,83.475,3,0,1
232,0,3,1,0,29,0,0,7.775,5,0,0
233,0,2,1,0,59,0,0,13.5,5,0,0
234,1,3,2,1,5,4,2,31.3875,6,0,1
235,0,2,1,0,24,0,0,10.5,5,0,0
236,0,3,2,1,20,0,0,7.55,6,0,0
237,0,2,1,0,44,1,0,26.0,5,0,1
238,1,2,2,1,8,0,2,26.25,5,0,1
239,0,2,1,0,19,0,0,10.5,5,0,0
240,0,2,1,0,33,0,0,12.275,5,0,0
241,0,3,2,1,10,1,0,14.4542,6,1,1
242,1,3,2,1,16,1,0,15.5,6,2,1
243,0,2,1,0,29,0,0,10.5,5,0,0
244,0,3,1,0,22,0,0,7.125,5,0,0
245,0,3,1,0,30,0,0,7.225,5,1,0
246,0,1,1,0,44,2,0,90.0,3,2,1
247,0,3,2,1,25,0,0,7.775,6,0,0
248,1,2,3,1,24,0,2,14.5,5,0,1
249,1,1,1,0,37,1,1,52.5542,4,0,1
250,0,2,1,0,54,1,0,26.0,5,0,1
251,0,3,1,0,30,0,0,7.25,5,0,0
252,0,3,3,1,29,1,1,10.4625,7,0,1
253,0,1,1,0,62,0,0,26.55,3,0,0
254,0,3,1,0,30,1,0,16.1,6,0,1
255,0,3,3,1,41,0,2,20.2125,6,0,1
256,1,3,3,1,29,0,2,15.2458,5,1,1
257,1,1,3,1,48,0,0,79.2,2,1,0
258,1,1,2,1,30,0,0,86.5,2,0,0
259,1,1,2,1,35,0,0,512.3292,1,1,0
260,1,2,3,1,50,0,1,26.0,5,0,1
261,0,3,1,0,33,0,0,7.75,5,2,0
262,1,3,0,0,3,4,2,31.3875,5,0,1
263,0,1,1,0,52,1,1,79.65,5,0,1
264,0,1,1,0,40,0,0,0.0,2,0,0
265,0,3,2,1,23,0,0,7.75,5,2,0
266,0,2,1,0,36,0,0,10.5,5,0,0
267,0,3,1,0,16,4,1,39.6875,6,0,1
268,1,3,1,0,25,1,0,7.775,6,0,1
269,1,1,3,1,58,0,1,153.4625,3,0,1
270,1,1,2,1,35,0,0,135.6333,3,0,0
271,0,1,1,0,45,0,0,31.0,2,0,0
272,1,3,1,0,25,0,0,0.0,5,0,0
273,1,2,3,1,41,0,1,19.5,5,0,1
274,0,1,1,0,37,0,1,29.7,3,1,1
275,1,3,2,1,23,0,0,7.75,5,2,0
276,1,1,2,1,63,1,0,77.9583,4,0,1
277,0,3,2,1,45,0,0,7.75,6,0,0
278,0,2,1,0,34,0,0,0.0,5,0,0
279,0,3,0,0,7,4,1,29.125,5,2,1
280,1,3,3,1,35,1,1,20.25,6,0,1
281,0,3,1,0,65,0,0,7.75,5,2,0
282,0,3,1,0,28,0,0,7.8542,5,0,0
283,0,3,1,0,16,0,0,9.5,5,0,0
284,1,3,1,0,19,0,0,8.05,5,0,0
285,0,1,1,0,45,0,0,26.0,1,0,0
286,0,3,1,0,33,0,0,8.6625,5,1,0
287,1,3,1,0,30,0,0,9.5,5,0,0
288,0,3,1,0,22,0,0,7.8958,5,0,0
289,1,2,1,0,42,0,0,13.0,5,0,0
290,1,3,2,1,22,0,0,7.75,5,2,0
291,1,1,2,1,26,0,0,78.85,3,0,0
292,1,1,3,1,19,1,0,91.0792,2,1,1
293,0,2,1,0,36,0,0,12.875,4,1,0
294,0,3,2,1,24,0,0,8.85,6,0,0
295,0,3,1,0,24,0,0,7.8958,5,0,0
296,0,1,1,0,41,0,0,27.7208,2,1,0
297,0,3,1,0,23,0,0,7.2292,5,1,0
298,0,1,2,1,2,1,2,151.55,3,0,1
299,1,1,1,0,45,0,0,30.5,3,0,0
300,1,1,3,1,50,0,1,247.5208,2,1,1
301,1,3,2,1,23,0,0,7.75,5,2,0
302,1,3,1,0,26,2,0,23.25,6,2,1
303,0,3,1,0,19,0,0,0.0,5,0,0
304,1,2,2,1,27,0,0,12.35,5,2,0
305,0,3,1,0,30,0,0,8.05,5,0,0
306,1,1,0,0,0,1,2,151.55,3,0,1
307,1,1,2,1,31,0,0,110.8833,2,1,0
308,1,1,3,1,17,1,0,108.9,3,1,1
309,0,2,1,0,30,1,0,24.0,5,1,1
310,1,1,2,1,30,0,0,56.9292,5,1,0
311,1,1,2,1,24,0,0,83.1583,3,1,0
312,1,1,2,1,18,2,2,262.375,2,1,1
313,0,2,3,1,26,1,1,26.0,5,0,1
314,0,3,1,0,28,0,0,7.8958,5,0,0
315,0,2,1,0,43,1,1,26.25,5,0,1
316,1,3,2,1,26,0,0,7.8542,6,0,0
317,1,2,3,1,24,1,0,26.0,5,0,1
318,0,2,1,0,54,0,0,14.0,5,0,0
319,1,1,2,1,31,0,2,164.8667,3,0,1
320,1,1,3,1,40,1,1,134.5,5,1,1
321,0,3,1,0,22,0,0,7.25,5,0,0
322,0,3,1,0,27,0,0,7.8958,5,0,0
323,1,2,2,1,30,0,0,12.35,5,2,0
324,1,2,3,1,22,1,1,29.0,5,0,1
325,0,3,1,0,23,8,2,69.55,6,0,1
326,1,1,2,1,36,0,0,135.6333,3,1,0
327,0,3,1,0,61,0,0,6.2375,5,0,0
328,1,2,3,1,36,0,0,13.0,4,0,0
329,1,3,3,1,31,1,1,20.525,6,0,1
330,1,1,2,1,16,0,1,57.9792,2,1,1
331,1,3,2,1,16,2,0,23.25,6,2,1
332,0,1,1,0,45,0,0,28.5,3,0,0
333,0,1,1,0,38,0,1,153.4625,3,0,1
334,0,3,1,0,16,2,0,18.0,6,0,1
335,1,1,3,1,44,1,0,133.65,3,0,1
336,0,3,1,0,30,0,0,7.8958,5,0,0
337,0,1,1,0,29,1,0,66.6,3,0,1
338,1,1,2,1,41,0,0,134.5,5,1,0
339,1,3,1,0,45,0,0,8.05,5,0,0
340,0,1,1,0,45,0,0,35.5,0,0,0
341,1,2,0,0,2,1,1,26.0,6,0,1
342,1,1,2,1,24,3,2,263.0,3,0,1
343,0,2,1,0,28,0,0,13.0,5,0,0
344,0,2,1,0,25,0,0,13.0,5,0,0
345,0,2,1,0,36,0,0,13.0,5,0,0
346,1,2,2,1,24,0,0,13.0,6,0,0
347,1,2,2,1,40,0,0,13.0,5,0,0
348,1,3,3,1,30,1,0,16.1,6,0,1
349,1,3,0,0,3,1,1,15.9,5,0,1
350,0,3,1,0,42,0,0,8.6625,5,0,0
351,0,3,1,0,23,0,0,9.225,5,0,0
352,0,1,1,0,45,0,0,35.0,3,0,0
353,0,3,1,0,15,1,1,7.2292,5,1,1
354,0,3,1,0,25,1,0,17.8,6,0,1
355,0,3,1,0,27,0,0,7.225,5,1,0
356,0,3,1,0,28,0,0,9.5,5,0,0
357,1,1,2,1,22,0,1,55.0,5,0,1
358,0,2,2,1,38,0,0,13.0,5,0,0
359,1,3,2,1,23,0,0,7.8792,5,2,0
360,1,3,2,1,23,0,0,7.8792,5,2,0
361,0,3,1,0,40,1,4,27.9,5,0,1
362,0,2,1,0,29,1,0,27.7208,5,1,1
363,0,3,3,1,45,0,1,14.4542,5,1,1
364,0,3,1,0,35,0,0,7.05,5,0,0
365,0,3,1,0,26,1,0,15.5,6,2,1
366,0,3,1,0,30,0,0,7.25,5,0,0
367,1,1,3,1,60,1,0,75.25,4,1,1
368,1,3,3,1,33,0,0,7.2292,5,1,0
369,1,3,2,1,23,0,0,7.75,5,2,0
370,1,1,2,1,24,0,0,69.3,2,1,0
371,1,1,1,0,25,1,0,55.4417,5,1,1
372,0,3,1,0,18,1,0,6.4958,6,0,1
373,0,3,1,0,19,0,0,8.05,5,0,0
374,0,1,1,0,22,0,0,135.6333,2,1,0
375,0,3,2,1,3,3,1,21.075,6,0,1
376,1,1,3,1,41,1,0,82.1708,3,1,1
377,1,3,2,1,22,0,0,7.25,6,0,0
378,0,1,1,0,27,0,2,211.5,3,1,1
379,0,3,1,0,20,0,0,4.0125,5,1,0
380,0,3,1,0,19,0,0,7.775,5,0,0
381,1,1,2,1,42,0,0,227.525,2,1,0
382,1,3,2,1,1,0,2,15.7417,5,1,1
383,0,3,1,0,32,0,0,7.925,5,0,0
384,1,1,3,1,35,1,0,52.0,3,0,1
385,0,3,1,0,30,0,0,7.8958,5,0,0
386,0,2,1,0,18,0,0,73.5,5,0,0
387,0,3,0,0,1,5,2,46.9,5,0,1
388,1,2,2,1,36,0,0,13.0,5,0,0
389,0,3,1,0,33,0,0,7.7292,5,2,0
390,1,2,2,1,17,0,0,12.0,4,1,0
391,1,1,1,0,36,1,2,120.0,2,0,1
392,1,3,1,0,21,0,0,7.7958,5,0,0
393,0,3,1,0,28,2,0,7.925,6,0,1
394,1,1,2,1,23,1,0,113.275,4,1,1
395,1,3,3,1,24,0,2,16.7,7,0,1
396,0,3,1,0,22,0,0,7.7958,5,0,0
397,0,3,2,1,31,0,0,7.8542,6,0,0
398,0,2,1,0,46,0,0,26.0,5,0,0
399,0,2,1,0,23,0,0,10.5,5,0,0
400,1,2,3,1,28,0,0,12.65,5,0,0
401,1,3,1,0,39,0,0,7.925,5,0,0
402,0,3,1,0,26,0,0,8.05,5,0,0
403,0,3,2,1,21,1,0,9.825,6,0,1
404,0,3,1,0,28,1,0,15.85,6,0,1
405,0,3,2,1,20,0,0,8.6625,6,0,0
406,0,2,1,0,34,1,0,21.0,5,0,1
407,0,3,1,0,51,0,0,7.75,5,0,0
408,1,2,0,0,3,1,1,18.75,5,0,1
409,0,3,1,0,21,0,0,7.775,5,0,0
410,0,3,2,1,13,3,1,25.4667,6,0,1
411,0,3,1,0,30,0,0,7.8958,5,0,0
412,0,3,1,0,33,0,0,6.8583,5,2,0
413,1,1,2,1,33,1,0,90.0,3,2,1
414,0,2,1,0,34,0,0,0.0,5,0,0
415,1,3,1,0,44,0,0,7.925,5,0,0
416,0,3,3,1,36,0,0,8.05,5,0,0
417,1,2,3,1,34,1,1,32.5,5,0,1
418,1,2,2,1,18,0,2,13.0,5,0,1
419,0,2,1,0,30,0,0,13.0,5,0,0
420,0,3,2,1,10,0,2,24.15,6,0,1
421,0,3,1,0,27,0,0,7.8958,5,1,0
422,0,3,1,0,21,0,0,7.7333,5,2,0
423,0,3,1,0,29,0,0,7.875,5,0,0
424,0,3,3,1,28,1,1,14.4,6,0,1
425,0,3,1,0,18,1,1,20.2125,6,0,1
426,0,3,1,0,30,0,0,7.25,5,0,0
427,1,2,3,1,28,1,0,26.0,5,0,1
428,1,2,2,1,19,0,0,26.0,5,0,0
429,0,3,1,0,33,0,0,7.75,5,2,0
430,1,3,1,0,32,0,0,8.05,5,0,0
431,1,1,1,0,28,0,0,26.55,3,0,0
432,1,3,3,1,30,1,0,16.1,6,0,1
433,1,2,3,1,42,1,0,26.0,5,0,1
434,0,3,1,0,17,0,0,7.125,5,0,0
435,0,1,1,0,50,1,0,55.9,5,0,1
436,1,1,2,1,14,1,2,120.0,2,0,1
437,0,3,2,1,21,2,2,34.375,6,0,1
438,1,2,3,1,24,2,3,18.75,5,0,1
439,0,1,1,0,64,1,4,263.0,3,0,1
440,0,2,1,0,31,0,0,10.5,5,0,0
441,1,2,3,1,45,1,1,26.25,5,0,1
442,0,3,1,0,20,0,0,9.5,5,0,0
443,0,3,1,0,25,1,0,7.775,6,0,1
444,1,2,2,1,28,0,0,13.0,5,0,0
445,1,3,1,0,30,0,0,8.1125,5,0,0
446,1,1,0,0,4,0,2,81.8583,1,0,1
